Date,User,Country,Name,Roaster,Processing,Variety,RoastLevel,Type,BrewingMethod,BrewingRecipe,Rating,Sour,Sweet,Salty,Bitter,Note
2021-06-09,Talon,Ethiopia,Uraga,Mitte,Washed,Heirloom,2,100,Aeropress,Hoffmann,4.0,4.0,4.0,2.0,1.0,"Lehká, vzdušná chuť"
2021-06-11,Talon,Ethiopia,Uraga,Mitte,Washed,Heirloom,2,100,V60,One Pour,4.0,4.0,2.0,4.0,1.0,Lehká
2021-06-13,Talon,Honduras,Norma Iris Fiallos,Motmot,Natural,Lempira,1,0,V60,Hoffmann,4.0,2.0,2.0,4.0,3.0,slightly burnt caramel biscuits
2021-06-23,Talon,Ethiopia,Uraga,Mitte,Washed,Heirloom,2,100,Aeropress,Hoffmann,3.0,4.0,1.0,2.0,2.0,Lehká
2021-07-08,Talon,Kenya,Aa Top,Laura,Washed,Bourbon,3,100,V60,Hoffmann Iced,5.0,4.0,5.0,1.0,2.0,Osvěžující
